chrom, mid , last_posinvariant_count, invariant_num_hom_ref, invariant_num_het, invariant_no_data, invariant_avg_depth, invariant_num_hom_alt, variant_count, variant_num_hom_ref, variant_num_het, variant_no_data, variant_avg_depth, variant_num_hom_alt, 
pseudo0, 2690000.0, 2699999, 30660.0, 0.0, 0.0, 0.0, 368479.0, 0.0, 97.0, 2524.0, 257.0, 0.0, 1221.0, 154.0, 
pseudo0, 2710000.0, 2717804, 9293.0, 0.0, 0.0, 0.0, 105538.0, 0.0, 33.0, 793.0, 71.0, 0.0, 403.0, 110.0, 
pseudo0, 2730000.0, 2717804, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 2750000.0, 2759844, 26974.0, 0.0, 0.0, 0.0, 323541.0, 0.0, 168.0, 4535.0, 360.0, 0.0, 2142.0, 140.0, 
pseudo0, 2770000.0, 2759844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 2790000.0, 2799999, 28574.0, 0.0, 0.0, 0.0, 335455.0, 0.0, 102.0, 2259.0, 587.0, 0.0, 1311.0, 157.0, 
pseudo0, 2810000.0, 2819999, 12166.0, 0.0, 0.0, 0.0, 207297.0, 0.0, 445.0, 12390.0, 1590.0, 0.0, 9607.0, 169.0, 
pseudo0, 2830000.0, 2819999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 2850000.0, 2819999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 2870000.0, 2879979, 34333.0, 0.0, 0.0, 0.0, 433266.0, 0.0, 123.0, 3008.0, 293.0, 0.0, 1630.0, 318.0, 
pseudo0, 2890000.0, 2879979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 2910000.0, 2919999, 35467.0, 0.0, 0.0, 0.0, 440990.0, 0.0, 112.0, 2361.0, 552.0, 0.0, 1506.0, 451.0, 
pseudo0, 2930000.0, 2939999, 19079.0, 0.0, 0.0, 0.0, 250506.0, 0.0, 78.0, 2201.0, 157.0, 0.0, 1059.0, 126.0, 
pseudo0, 2950000.0, 2959999, 17034.0, 0.0, 0.0, 0.0, 217849.0, 0.0, 61.0, 1671.0, 193.0, 0.0, 817.0, 44.0, 
pseudo0, 2970000.0, 2979384, 18016.0, 0.0, 0.0, 0.0, 224757.0, 0.0, 61.0, 1502.0, 244.0, 0.0, 783.0, 96.0, 
pseudo0, 2990000.0, 2979384, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 3010000.0, 3019999, 35723.0, 0.0, 0.0, 0.0, 492213.0, 0.0, 147.0, 3864.0, 696.0, 0.0, 2135.0, 230.0, 
pseudo0, 3030000.0, 3039999, 16336.0, 0.0, 0.0, 0.0, 227948.0, 0.0, 513.0, 13348.0, 2247.0, 0.0, 7489.0, 817.0, 
pseudo0, 3050000.0, 3059999, 15081.0, 0.0, 0.0, 0.0, 198220.0, 0.0, 580.0, 14142.0, 2589.0, 0.0, 8120.0, 640.0, 
pseudo0, 3070000.0, 3079999, 18095.0, 0.0, 0.0, 0.0, 254206.0, 0.0, 190.0, 4999.0, 747.0, 0.0, 2803.0, 148.0, 
pseudo0, 3090000.0, 3097815, 16278.0, 0.0, 0.0, 0.0, 384820.0, 0.0, 120.0, 3206.0, 682.0, 0.0, 3064.0, 169.0, 
pseudo0, 3110000.0, 3097815, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 3130000.0, 3139999, 28191.0, 0.0, 0.0, 0.0, 407804.0, 0.0, 267.0, 6398.0, 1423.0, 0.0, 4306.0, 240.0, 
pseudo0, 3150000.0, 3159999, 13513.0, 0.0, 0.0, 0.0, 169759.0, 0.0, 321.0, 8177.0, 953.0, 0.0, 4295.0, 569.0, 
pseudo0, 3170000.0, 3179999, 19164.0, 0.0, 0.0, 0.0, 257453.0, 0.0, 83.0, 2287.0, 224.0, 0.0, 1135.0, 137.0, 
pseudo0, 3190000.0, 3199999, 17090.0, 0.0, 0.0, 0.0, 222417.0, 0.0, 71.0, 1870.0, 265.0, 0.0, 985.0, 78.0, 
pseudo0, 3210000.0, 3219999, 13733.0, 0.0, 0.0, 0.0, 176492.0, 0.0, 47.0, 1241.0, 151.0, 0.0, 633.0, 80.0, 
